1-1-triangle-area	1-2-angle	1-3-normal-cdf	1-5-highest-point	1-6-travel-distance	2-0-add-modified	2-1-1-to-string	2-1-2-to-latex	2-2-derivative	2-3-divide	2-4-from-string	2-5-find-root	3-1-recurrent	3-2-hanoi	3-3-1-rec-approximation	3-3-2-iter-approximation
108	93	106	108	107	80	80	77	100	37	47	22	103	55	69	75
5	19	6	4	5	31	32	29	12	65	54	75	6	38	31	20
0.9557522123893806	0.8303571428571429	0.9464285714285714	0.9642857142857143	0.9553571428571429	0.7207207207207207	0.7142857142857143	0.7264150943396226	0.8928571428571429	0.3627450980392157	0.46534653465346537	0.2268041237113402	0.944954128440367	0.5913978494623656	0.69	0.7894736842105263
